yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19549938,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,434251,,,26.1551249,50.5344606
2020,2020,Import,Kuwait,Brazil,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,257164,,,-10.3333333,-53.2
2020,2020,Import,Kuwait,Canada,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5976,,,61.0666922,-107.991707
2020,2020,Import,Kuwait,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,23005,,,35.000074,104.999927
2020,2020,Import,Kuwait,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2994,,,46.603354,1.8883335
2020,2020,Import,Kuwait,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,697397,,,51.1638175,10.4478313
2020,2020,Import,Kuwait,Hungary,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2465017,,,47.1817585,19.5060937
2020,2020,Import,Kuwait,Rep. of Korea,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,32366,,,,
2020,2020,Import,Kuwait,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,102357,,,52.2434979,5.6343227
2020,2020,Import,Kuwait,Russian Federation,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,495722,,,64.6863136,97.7453061
2020,2020,Import,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,448770,,,25.6242618,42.3528328
2020,2020,Import,Kuwait,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,37634,,,22.3511148,78.6677428
2020,2020,Import,Kuwait,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,93238,,,59.6749712,14.5208584
2020,2020,Import,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,322492,,,24.0002488,53.9994829
2020,2020,Import,Kuwait,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,23385,,,38.9597594,34.9249653
2020,2020,Import,Kuwait,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,136706,,,54.7023545,-3.2765753
2020,2020,Import,Kuwait,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13971464,,,,
