yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2012,2012,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,451
2012,2012,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,255227
2012,2012,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,54
2012,2012,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,256425
