yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,147809,,,37.977378106878206,73.97804075806764
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,4203487,,,51.67568633314729,27.673469819741847
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,84581,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,3777014,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,6724,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,278769,,,10.528384761701911,103.08333472012376
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,8800,,,25.499703063807168,75.5024015339642
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,426089,,,40.12399607988535,20.742583178432696
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1727295,,,26.42921218083572,52.86847103284948
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,2054701,,,47.92172048214207,7.866753258497997
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,14992084,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,257767,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,10511,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,323390,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,69262,,,,
2009,2009,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,136699,,,,
