rtTitle,Subregion,rgDesc,TradeValue
Fmr Sudan,Algeria,Export,49967
Fmr Sudan,Bahrain,Import,23646433
Fmr Sudan,Comoros,Import,1457
Fmr Sudan,Cyprus,Export,1973038
Fmr Sudan,Cyprus,Import,4173360
Fmr Sudan,Djibouti,Export,123348
Fmr Sudan,Iraq,Export,10192
Fmr Sudan,Iraq,Import,7644116
Fmr Sudan,Jordan,Export,20679213
Fmr Sudan,Jordan,Import,20861327
Fmr Sudan,Jordan,Re-Export,27579
Fmr Sudan,Kuwait,Export,249158
Fmr Sudan,Kuwait,Import,81534
Fmr Sudan,Lebanon,Export,5861220
Fmr Sudan,Lebanon,Import,1992445
Fmr Sudan,Lebanon,Re-Export,195216
Fmr Sudan,Libya,Import,1110144
Fmr Sudan,Malta,Export,20888
Fmr Sudan,Malta,Import,639251
Fmr Sudan,Morocco,Import,101299
Fmr Sudan,Oman,Export,439028
Fmr Sudan,Oman,Import,1435831
Fmr Sudan,Pakistan,Export,112847
Fmr Sudan,Pakistan,Import,3661966
Fmr Sudan,Pakistan,Re-Export,27113
Fmr Sudan,Qatar,Export,1067017
Fmr Sudan,Qatar,Import,8081456
Fmr Sudan,Saudi Arabia,Export,128750488
Fmr Sudan,Saudi Arabia,Import,195654690
Fmr Sudan,Saudi Arabia,Re-Export,6624909
Fmr Sudan,United Arab Emirates,Export,433376
Fmr Sudan,United Arab Emirates,Re-Export,433376
Fmr Sudan,World,Export,474960400
Fmr Sudan,World,Import,1768325029
Fmr Sudan,World,Re-Export,33130402
Fmr Sudan,Yemen,Export,12864435
Fmr Sudan,Yemen,Import,15828444
Fmr Sudan,Yemen,Re-Export,6971
