yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,25917,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,11981153,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,17098594,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,73398,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,178788,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3160202,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4170945,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,6814142,31.1667049,36.941628,25.499703063807168,75.5024015339642
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,445291,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,7715,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,19940088,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,9478791,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,196535692,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,8110,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,2917,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,9393801,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,1067041,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,68959,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,826193,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,3000,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,7008,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,3135393,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,547244,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,2143977,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,581246,31.1667049,36.941628,,
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,240,31.1667049,36.941628,,
