yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,49285588,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,599477,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1059177,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1483290,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1244551,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,30433122,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,8610066,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,3466548,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,106202,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,809392,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,64,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,4766,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,4220163,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,18366690,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,206250377,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,155470,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,317188,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1121706,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,17503,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,10886,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1218602,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,1967382,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,1609,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,67189,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,74253051,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,849677,26.1551249,50.5344606,,
2008,2008,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,239385,26.1551249,50.5344606,,
