yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2014,2014,Import,Iraq,2,Meat and edible meat offal,Australia and New Zealand,Oceania,1398560
2014,2014,Import,Iraq,2,Meat and edible meat offal,Eastern Asia,Asia,524023
2014,2014,Import,Iraq,2,Meat and edible meat offal,Eastern Europe,Europe,918636
2014,2014,Import,Iraq,2,Meat and edible meat offal,Latin America and the Caribbean,Americas,53545360
2014,2014,Import,Iraq,2,Meat and edible meat offal,Northern Africa,Africa,148360
2014,2014,Import,Iraq,2,Meat and edible meat offal,Northern America,Americas,25231526
2014,2014,Import,Iraq,2,Meat and edible meat offal,Northern Europe,Europe,20600
2014,2014,Import,Iraq,2,Meat and edible meat offal,South-eastern Asia,Asia,312759
2014,2014,Import,Iraq,2,Meat and edible meat offal,Southern Asia,Asia,16414323
2014,2014,Import,Iraq,2,Meat and edible meat offal,Southern Europe,Europe,33050
2014,2014,Import,Iraq,2,Meat and edible meat offal,Sub-Saharan Africa,Africa,70788
2014,2014,Import,Iraq,2,Meat and edible meat offal,Western Asia,Asia,3416164
2014,2014,Import,Iraq,2,Meat and edible meat offal,Western Europe,Europe,490676
2014,2014,Import,Iraq,2,Meat and edible meat offal,World,World,166954401
