yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,175083,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,745083,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,1969,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,918238,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,771613,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,4640819,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,3816929,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,2026992,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,891,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2286941,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,23574738,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,536974,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,20500,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Cyprus, Cyprus,500994,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,3564201,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,2861434,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,460112,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,5329,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,22653,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,4363,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Mauritania, Mauritania,40002,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Morocco, Morocco,146507,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,12779,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,670,38.9597594,34.9249653,,
2012,2012,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,11672,38.9597594,34.9249653,,
