yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,1109004,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,53427,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,914799,28.0000272,2.9999825,,
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,447,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,604663,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,3159941,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,4901758,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,17768518,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,30040315,28.0000272,2.9999825,,
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,101275,28.0000272,2.9999825,,
2011,2011,Import,Algeria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,371960,28.0000272,2.9999825,,
