yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,302211,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,531108,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,1860,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,754969,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,51282,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,2668427,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,7166300,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,939207,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,22681834,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,71420,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,978591,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,1812521,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,832957,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1348990,16.3471243,47.8915271,,
2010,2010,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,3531918,16.3471243,47.8915271,,
