yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,53445501,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,24861,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,360856,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,5837205,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,5594838,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,879494,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,5660752,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,52725767,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,7612602,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,1147874,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2351626,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,669099,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,5444,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2218930,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,106884868,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,329507216,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,28782,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,2215841,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,2197742,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,693757,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,319944,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,54912,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1008404,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,15645,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,818577,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,20778,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,56207393,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,22567,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,470098,24.0002488,53.9994829,,
