yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,60804,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,73458,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,792791,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,61893,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1955365,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,1987802,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,10554,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,3963,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,5617327,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,2881038,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sudan,Sudan,528133,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,197362,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,5532652,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,25934791,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,10571,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,28690,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,821640,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,667,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Cyprus, Cyprus,554581,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Djibouti, Djibouti,915206,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,1269608,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,8790,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,628890,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,111773,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,122007,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,16406,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Mauritania, Mauritania,136537,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Morocco, Morocco,148695,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,1104523,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,350734,38.9597594,34.9249653,,
2018,2018,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,750,38.9597594,34.9249653,,
