yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,World,World,963799,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,152,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,14989,26.1551249,50.5344606,,
2002,2002,Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,285,26.1551249,50.5344606,,
