yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2159,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,20015,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,12409,35.8885993,14.4476911,,
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,46999,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2780,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,14058,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,25290,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,988,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,14600,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,145526,35.8885993,14.4476911,,
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,2784,35.8885993,14.4476911,,
2019,2019,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,99,35.8885993,14.4476911,,
