yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Re-Export,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,107802,31.1667049,36.941628,,
2018,2018,Re-Export,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Iraq, Iraq,59915,31.1667049,36.941628,,
2018,2018,Re-Export,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Lebanon, Lebanon,47887,31.1667049,36.941628,,
