yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Oman,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41911210,,,-36.8535712,174.7456809
2018,2018,Import,Oman,Austria,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1235,,,47.59397,14.12456
2018,2018,Import,Oman,Bahrain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",50111,,,26.1551249,50.5344606
2018,2018,Import,Oman,Belgium,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",25557,,,50.6402809,4.6667145
2018,2018,Import,Oman,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",935432,,,-10.3333333,-53.2
2018,2018,Import,Oman,Bulgaria,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",40462,,,42.6073975,25.4856617
2018,2018,Import,Oman,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1041435,,,35.000074,104.999927
2018,2018,Import,Oman,Denmark,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",277435,,,55.670249,10.3333283
2018,2018,Import,Oman,France,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2353651,,,46.603354,1.8883335
2018,2018,Import,Oman,Germany,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",577,,,51.1638175,10.4478313
2018,2018,Import,Oman,Indonesia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1431542,,,-2.4833826,117.8902853
2018,2018,Import,Oman,Iran,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",239872,,,32.6475314,54.5643516
2018,2018,Import,Oman,Italy,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",93024,,,42.6384261,12.674297
2018,2018,Import,Oman,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",287929,,,31.1667049,36.941628
2018,2018,Import,Oman,Rep. of Korea,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",20218,,,,
2018,2018,Import,Oman,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",118533,,,29.2733964,47.4979476
2018,2018,Import,Oman,Luxembourg,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",13895,,,,
2018,2018,Import,Oman,Malaysia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1334925,,,4.5693754,102.2656823
