yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,443,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2232276,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,15037,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,97378,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,173,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1132480,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,520,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,67593,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,57781,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4091452,33.7680065,66.2385139,,
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3181,33.7680065,66.2385139,,
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,226197,33.7680065,66.2385139,,
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,24174,33.7680065,66.2385139,,
2019,2019,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,210481,33.7680065,66.2385139,,
