yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1508195,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,11527,31.1667049,36.941628,6.06272746187266,22.727528470146083
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,228665,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2252701,31.1667049,36.941628,26.42921218083572,52.86847103284948
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9624536,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,13780,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,1719265,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,4458,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,43690,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,347524,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,800,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,4490,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,134999,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2334891,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,410878,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,30577,31.1667049,36.941628,,
2014,2014,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,28493,31.1667049,36.941628,,
