yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,768,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,7747,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,48256,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,2860,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,9518,34.9823018,33.1451285,19.569604022535763,12.47761721199581
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,24316,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,610791,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,15050,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,2246,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1380430,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2858839,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2004,2004,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,4973737,34.9823018,33.1451285,,
