yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1550096,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,7053,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,5503,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,145,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,942475,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,403052,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,225085,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2390,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,409936,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,68078,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2985944,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,30596332,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,189,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,546,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,9045,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,2312,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,333172,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2133573,21.0000287,57.0036901,,
2018,2018,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,18970378,21.0000287,57.0036901,,
