yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,109476257,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,15695,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,28679428,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5079781,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,7178381,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,140,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,3989,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,33192,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,189383967,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,124536,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,6332,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,257542,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,104105,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,9633035,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,326492,25.3336984,51.2295295,,
2010,2010,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,90126,25.3336984,51.2295295,,
