yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,593574,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,745659,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1563,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,43535,26.1551249,50.5344606,19.569604022535763,12.47761721199581
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1401378,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,726727,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,422310,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,25072,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1067434,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,16223,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,42832,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1591526,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2008,2008,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9999898,26.1551249,50.5344606,,
