yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,4940024,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2936800,25.62,42.35,25.499703063807168,75.5024015339642
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,33885,25.62,42.35,40.12399607988535,20.742583178432696
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,138209,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,4532336,25.62,42.35,26.42921218083572,52.86847103284948
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,119532,25.62,42.35,47.92172048214207,7.866753258497997
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,31941667,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,871408,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,2281509,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,2604085,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2548855,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,2681994,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,200376,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,443708,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1075519,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,5191361,25.62,42.35,,
2007,2007,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,783093,25.62,42.35,,
