yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,517310,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,3598160,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,119009,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,44241,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,266463,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,29642,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,3979200,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,23188,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,8967485,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Armenia, Armenia,76040,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,75659,32.3293809,-83.1137366,,
2012,2012,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,56734,32.3293809,-83.1137366,,
