yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,169,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2266650,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,260535,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,3498,40.7696272,44.6736646,,
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,152034,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,443147,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,578,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,197468,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1539276,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1670209,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,906593,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7500693,40.7696272,44.6736646,,
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Georgia, Georgia,10476,40.7696272,44.6736646,,
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,344,40.7696272,44.6736646,,
2012,2012,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,23898,40.7696272,44.6736646,,
