yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,47585,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1133139,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,1681,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1082417,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,130382,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,417172,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,2310514,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,46471,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,39589,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3063745,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,11952201,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Algeria, Algeria,10543,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Azerbaijan, Azerbaijan,651436,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Cyprus, Cyprus,198530,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Georgia, Georgia,1394185,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Iraq, Iraq,492236,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Israel, Israel,490382,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Jordan, Jordan,2533,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Kuwait, Kuwait,390,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Lebanon, Lebanon,5017,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Libya, Libya,2870,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Mauritania, Mauritania,21540,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Morocco, Morocco,70429,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Qatar, Qatar,12170,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,20694,38.9597594,34.9249653,,
2009,2009,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,6480,38.9597594,34.9249653,,
