yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1063669
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,746064
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,52042
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,501127
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,70641
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,326434
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,441254
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,18
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5122093
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1806456
2016,2016,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10321972
