yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,24660499,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,178,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,772183,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,19391,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,688,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,133436,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,879156,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1896650,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,2772034,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1867582,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,659817,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,805244,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,5052,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,717680,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4912751,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,57178105,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,1100,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,365009,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,31177,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,21133,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,197884,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,166252,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,540603,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,71480,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,3177888,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, State of Palestine, State of Palestine,776,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,69,24.0002488,53.9994829,,
