yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,27945,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,837,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,319,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,13,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,90478,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,53318,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,94015,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,642,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1578207,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,34520,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,45659,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,21240,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,891178,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,73802,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,187089,21.0000287,57.0036901,,
2018,2018,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,56621,21.0000287,57.0036901,,
