yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Comoros,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",285406.0,,-12.2045176,44.2832964,-36.8535712,174.7456809
2015,2015.0,Import,Comoros,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",29762.0,,-12.2045176,44.2832964,35.000074,104.999927
2015,2015.0,Import,Comoros,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",95815.0,,-12.2045176,44.2832964,46.603354,1.8883335
2015,2015.0,Import,Comoros,Madagascar,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15211.0,,-12.2045176,44.2832964,-18.9249604,46.4416422
2015,2015.0,Import,Comoros,Mauritius,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1649.0,,-12.2045176,44.2832964,-20.2759451,57.5703566
2015,2015.0,Import,Comoros,Namibia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",627.0,,-12.2045176,44.2832964,-23.2335499,17.3231107
2015,2015.0,Import,Comoros,Qatar,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",24.0,,-12.2045176,44.2832964,25.3336984,51.2295295
2015,2015.0,Import,Comoros,Saudi Arabia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",626.0,,-12.2045176,44.2832964,25.6242618,42.3528328
2015,2015.0,Import,Comoros,South Africa,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",13926.0,,-12.2045176,44.2832964,-28.8166236,24.991639
2015,2015.0,Import,Comoros,Togo,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",321.0,,-12.2045176,44.2832964,8.7800265,1.0199765
2015,2015.0,Import,Comoros,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",120812.0,,-12.2045176,44.2832964,24.0002488,53.9994829
2015,2015.0,Import,Comoros,Turkey,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1147.0,,-12.2045176,44.2832964,38.9597594,34.9249653
2015,2015.0,Import,Comoros,United Rep. of Tanzania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3083.0,,-12.2045176,44.2832964,,
2015,2015.0,Import,Comoros,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1043.0,,-12.2045176,44.2832964,39.7837304,-100.445882
2015,2015.0,Import,Comoros,Yemen,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1352.0,,-12.2045176,44.2832964,16.3471243,47.8915271
