yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1562,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,11911,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,12226,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,3837,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,502,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,5020,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,976861,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,14899,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,3108,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,15394,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,9343,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,65257,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,12514,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Libya, Libya,12318,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,25490,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,43167,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,580855,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, State of Palestine, State of Palestine,882,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,152736,35.8885993,14.4476911,,
2009,2009,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,5156,35.8885993,14.4476911,,
