yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,World,World,105734,26.1551249,50.5344606,,
2008,2008,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,12455,26.1551249,50.5344606,,
2008,2008,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,44144,26.1551249,50.5344606,,
2008,2008,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,41652,26.1551249,50.5344606,,
