yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,12969261,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,361886,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,14327122,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,502710,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,2883053,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,10497331,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1443387,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,5945903,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1876306,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,971760,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,408284,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1976225,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,8631851,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,69897685,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,7054,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,614035,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,53870,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,43472,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,471672,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,215630,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,192816,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,505,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,34482,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,319257,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,83223,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,1258105,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,State of Palestine, State of Palestine,10834,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,7674,24.0002488,53.9994829,,
