yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,3296164,33.87,35.84,-16.85099460447687,133.4130365630627
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,4980,33.87,35.84,37.977378106878206,73.97804075806764
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,37548161,33.87,35.84,51.67568633314729,27.673469819741847
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,3680770,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1591790,33.87,35.84,17.925141963241547,-78.01492950057497
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,766713,33.87,35.84,43.897683433510366,-100.08947125585888
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,34450353,33.87,35.84,59.36075159783851,25.01346951967388
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Polynesia,Oceania,78840,33.87,35.84,-5.109184731250752,167.40343615892436
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,5043263,33.87,35.84,10.528384761701911,103.08333472012376
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,16290,33.87,35.84,25.499703063807168,75.5024015339642
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3121318,33.87,35.84,40.12399607988535,20.742583178432696
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,29587,33.87,35.84,6.06272746187266,22.727528470146083
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,9018880,33.87,35.84,26.42921218083572,52.86847103284948
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,43617726,33.87,35.84,47.92172048214207,7.866753258497997
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,153714094,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,120,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,671575,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,194371,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,6436,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,2082,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,9236957,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,833322,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,161697,33.87,35.84,,
2003,2003,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,2812,33.87,35.84,,
