yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2005,2005.0,Export,Morocco,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,644772.0,,31.1728205,-7.3362482,-36.8535712,174.7456809
2005,2005.0,Export,Morocco,Algeria,35.0,Albuminoidal substances; modified starches; glues; enzymes,24343.0,,31.1728205,-7.3362482,28.0000272,2.9999825
2005,2005.0,Export,Morocco,Canada,35.0,Albuminoidal substances; modified starches; glues; enzymes,51.0,,31.1728205,-7.3362482,61.0666922,-107.991707
2005,2005.0,Export,Morocco,France,35.0,Albuminoidal substances; modified starches; glues; enzymes,154523.0,,31.1728205,-7.3362482,46.603354,1.8883335
2005,2005.0,Export,Morocco,Germany,35.0,Albuminoidal substances; modified starches; glues; enzymes,20317.0,,31.1728205,-7.3362482,51.1638175,10.4478313
2005,2005.0,Export,Morocco,Guinea,35.0,Albuminoidal substances; modified starches; glues; enzymes,1616.0,,31.1728205,-7.3362482,10.7226226,-10.7083587
2005,2005.0,Export,Morocco,Italy,35.0,Albuminoidal substances; modified starches; glues; enzymes,2562.0,,31.1728205,-7.3362482,42.6384261,12.674297
2005,2005.0,Export,Morocco,Jordan,35.0,Albuminoidal substances; modified starches; glues; enzymes,30504.0,,31.1728205,-7.3362482,31.1667049,36.941628
2005,2005.0,Export,Morocco,Kenya,35.0,Albuminoidal substances; modified starches; glues; enzymes,14675.0,,31.1728205,-7.3362482,1.4419683,38.4313975
2005,2005.0,Export,Morocco,Libya,35.0,Albuminoidal substances; modified starches; glues; enzymes,83290.0,,31.1728205,-7.3362482,26.8234472,18.1236723
2005,2005.0,Export,Morocco,Madagascar,35.0,Albuminoidal substances; modified starches; glues; enzymes,51881.0,,31.1728205,-7.3362482,-18.9249604,46.4416422
2005,2005.0,Export,Morocco,Mali,35.0,Albuminoidal substances; modified starches; glues; enzymes,3370.0,,31.1728205,-7.3362482,16.3700359,-2.2900239
2005,2005.0,Export,Morocco,Mauritania,35.0,Albuminoidal substances; modified starches; glues; enzymes,16656.0,,31.1728205,-7.3362482,20.2540382,-9.2399263
2005,2005.0,Export,Morocco,Niger,35.0,Albuminoidal substances; modified starches; glues; enzymes,7700.0,,31.1728205,-7.3362482,17.7356214,9.3238432
2005,2005.0,Export,Morocco,Senegal,35.0,Albuminoidal substances; modified starches; glues; enzymes,53720.0,,31.1728205,-7.3362482,14.4750607,-14.4529612
2005,2005.0,Export,Morocco,Spain,35.0,Albuminoidal substances; modified starches; glues; enzymes,6644.0,,31.1728205,-7.3362482,39.3260685,-4.8379791
2005,2005.0,Export,Morocco,Syria,35.0,Albuminoidal substances; modified starches; glues; enzymes,159.0,,31.1728205,-7.3362482,34.6401861,39.0494106
2005,2005.0,Export,Morocco,Tunisia,35.0,Albuminoidal substances; modified starches; glues; enzymes,134376.0,,31.1728205,-7.3362482,33.8439408,9.400138
2005,2005.0,Export,Morocco,Egypt,35.0,Albuminoidal substances; modified starches; glues; enzymes,38383.0,,31.1728205,-7.3362482,26.2540493,29.2675469
