yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,73753,40.7696272,44.6736646,39.89317229901691,61.060280637304274
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,220524,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,100709,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,1122,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,397,40.7696272,44.6736646,19.569604022535763,12.47761721199581
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,3308,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,14400,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,8840,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,61618,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,781313,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,218696,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,506668,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2011,2011,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2023643,40.7696272,44.6736646,,
