yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,2076665,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,4367851,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Africa,Africa,2,32.3293809,-83.1137366,19.569604022535763,12.47761721199581
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,19608,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,2028,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,270906,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,156681,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,1,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,2611855,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,22074,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2013,2013,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,9839088,32.3293809,-83.1137366,,
