yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,7000,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,13000,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,12000,33.8750629,35.843409,59.36075159783851,25.01346951967388
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,34000,33.8750629,35.843409,6.06272746187266,22.727528470146083
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,127000,33.8750629,35.843409,26.42921218083572,52.86847103284948
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3000,33.8750629,35.843409,47.92172048214207,7.866753258497997
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,5679000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,3000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,2000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,5081000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,358000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,10000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Morocco, Morocco,2000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,6000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,10000,33.8750629,35.843409,,
2004,2004,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,8000,33.8750629,35.843409,,
