yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,50046,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,14818,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,93291,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,483734,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,610,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,42028,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,8633,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,1197273,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,852387,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,71251240,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,27212,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,80583515,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,1840,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Algeria, Algeria,3800,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,7220,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,99837,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Comoros, Comoros,26957,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,181937,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,2534942,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,67477,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,52636,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,2068,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Morocco, Morocco,30389,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,47145,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,171462,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,1156275,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,289977,24.0002488,53.9994829,,
2008,2008,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,1355865,24.0002488,53.9994829,,
