yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,351274,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,7414,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,20286747,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,421567,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,248292,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1311554,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,21466497,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,10201008,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3505666,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,5552,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,6879274,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,376795,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,5085,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1384032,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,32711158,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,137886072,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,349,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,25145,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,21439,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,10057,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2370,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,2568,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,71954,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,257748,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1298,24.0002488,53.9994829,,
2017,2017,Import,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,6566302,24.0002488,53.9994829,,
