yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,2920789,,,51.67568633314729,27.673469819741847
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,177294,,,,
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,2036136,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,36649,,,10.528384761701911,103.08333472012376
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,238251,,,40.12399607988535,20.742583178432696
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,140,,,6.06272746187266,22.727528470146083
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,164235,,,26.42921218083572,52.86847103284948
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,3743043,,,47.92172048214207,7.866753258497997
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,9639336,,,,
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,151835,,,,
2009,2009,Import,Djibouti,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,103578,,,,
