yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,198674,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,4572866,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1791361,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,2249932,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,5003,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,15547629,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,64680,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1464284,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1405,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,98287812,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Azerbaijan, Azerbaijan,57063,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,707287,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,7041377,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,17938708,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,3166744,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,16780860,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,1643927,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Mauritania, Mauritania,203443,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,4353642,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,3146466,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,8261333,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,6170227,31.1728205,-7.3362482,,
2007,2007,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,2920899,31.1728205,-7.3362482,,
