yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,1490521,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,7635,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,957750,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,385543,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,436279,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,676556,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,2755729,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,7158410,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,9235161,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,4889147,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,907679,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,1498764,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,53062,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,8424951,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,9548037,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,78118715,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,3875,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Armenia, Armenia,1897,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Azerbaijan, Azerbaijan,808,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,1349517,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,93281,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,496909,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,55363,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,174639,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,19265,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,3046947,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,10619009,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,601484,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,964591,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,6852,24.0002488,53.9994829,,
2011,2011,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,16224,24.0002488,53.9994829,,
