yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2011,2011,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3373
2011,2011,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,599
2011,2011,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,949
2011,2011,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,7636
2011,2011,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,60633
