yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,779,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,1114,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Melanesia,Oceania,122,26.1551249,50.5344606,1.0108650891006263,147.3257485906919
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Micronesia,Oceania,471,26.1551249,50.5344606,6.418559504495792,157.6364476938912
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,779,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,189,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,20689,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,635,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,433,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,572,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1050,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,107029,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,551,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,130,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,298,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,32747,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,25878,26.1551249,50.5344606,,
2012,2012,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,19566,26.1551249,50.5344606,,
