yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,453752,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,14092,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,436276,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,World,World,29286300,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,19199,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,2022537,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,22815,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,596,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,101762,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,1292513,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,570176,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,194260,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,213314,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,183393,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,1917636,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,14333670,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,7034390,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,396058,29.2733964,47.4979476,,
