yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,30021,,,-36.8535712,174.7456809
2016,2016,Re-Export,Kuwait,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,26045,,,52.2434979,5.6343227
2016,2016,Re-Export,Kuwait,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3976,,,25.3336984,51.2295295
2019,2019,Re-Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2844,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2844,,,24.0002488,53.9994829
2020,2020,Re-Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1799,,,-36.8535712,174.7456809
2020,2020,Re-Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1799,,,24.0002488,53.9994829
