yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1562,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1099620,31.1667049,36.941628,37.977378106878206,73.97804075806764
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,653347,31.1667049,36.941628,51.67568633314729,27.673469819741847
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,375997,31.1667049,36.941628,,
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,720030,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2833988,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,891818,31.1667049,36.941628,59.36075159783851,25.01346951967388
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,408854,31.1667049,36.941628,10.528384761701911,103.08333472012376
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1276,31.1667049,36.941628,25.499703063807168,75.5024015339642
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1606512,31.1667049,36.941628,40.12399607988535,20.742583178432696
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,111,31.1667049,36.941628,6.06272746187266,22.727528470146083
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,717810,31.1667049,36.941628,26.42921218083572,52.86847103284948
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3969161,31.1667049,36.941628,47.92172048214207,7.866753258497997
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,17961267,31.1667049,36.941628,,
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,15782,31.1667049,36.941628,,
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,3772204,31.1667049,36.941628,,
2012,2012,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,376993,31.1667049,36.941628,,
