yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,151,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1420986,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1030717,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,42417,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,206585,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,34864,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,345893,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,449304,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5512555,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2555453,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,11710683,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,1443,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,11280,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,56500,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,9539,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,7,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,4837,32.3293809,-83.1137366,,
2018,2018,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,23629,32.3293809,-83.1137366,,
