yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,7227883,31.1667049,36.941628,37.977378106878206,73.97804075806764
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,915,31.1667049,36.941628,51.67568633314729,27.673469819741847
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,134749,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,44148,31.1667049,36.941628,19.569604022535763,12.47761721199581
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,773650,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,12942,31.1667049,36.941628,59.36075159783851,25.01346951967388
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,167710,31.1667049,36.941628,10.528384761701911,103.08333472012376
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,9231,31.1667049,36.941628,25.499703063807168,75.5024015339642
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,382041,31.1667049,36.941628,40.12399607988535,20.742583178432696
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,713,31.1667049,36.941628,6.06272746187266,22.727528470146083
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,10089660,31.1667049,36.941628,26.42921218083572,52.86847103284948
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,769636,31.1667049,36.941628,47.92172048214207,7.866753258497997
2011,2011,Import,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,23330689,31.1667049,36.941628,,
