yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Central Asia,Asia,50884
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Eastern Europe,Europe,187551
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Northern Africa,Africa,21732
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Northern Europe,Europe,475472
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Southern Asia,Asia,103259
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Southern Europe,Europe,514520
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Sub-Saharan Africa,Africa,15032
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Western Asia,Asia,28148
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,Western Europe,Europe,43251
1997,1997,Re-Export,Cyprus,73,Articles of iron or steel,World,World,1891298
