yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,299484,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,10016115,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,18679,30.3308401,71.247499,51.67568633314729,27.673469819741847
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,5774409,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,75152,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,7292577,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1131364,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2734570,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,5767644,30.3308401,71.247499,25.499703063807168,75.5024015339642
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,611010,30.3308401,71.247499,40.12399607988535,20.742583178432696
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,843035,30.3308401,71.247499,6.06272746187266,22.727528470146083
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,240798,30.3308401,71.247499,26.42921218083572,52.86847103284948
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3286936,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,53788939,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Afghanistan, Afghanistan,581947,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,140319,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,18632,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,12017880,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,1572697,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,386641,30.3308401,71.247499,,
2006,2006,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,667422,30.3308401,71.247499,,
