yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,6312,31.46,34.26,37.977378106878206,73.97804075806764
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,27425300,31.46,34.26,51.67568633314729,27.673469819741847
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,32865,31.46,34.26,,
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1191129,31.46,34.26,43.897683433510366,-100.08947125585888
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,380458,31.46,34.26,59.36075159783851,25.01346951967388
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,112940,31.46,34.26,10.528384761701911,103.08333472012376
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,138916,31.46,34.26,25.499703063807168,75.5024015339642
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,263957,31.46,34.26,40.12399607988535,20.742583178432696
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,21863328,31.46,34.26,26.42921218083572,52.86847103284948
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1856806,31.46,34.26,47.92172048214207,7.866753258497997
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,100629418,31.46,34.26,,
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,46831766,31.46,34.26,,
2014,2014,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,506738,31.46,34.26,,
