yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,375102,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,3569866,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,56051,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,40870,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,303890,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1251,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,3860574,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,46777,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,8607832,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Armenia, Armenia,48382,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Azerbaijan, Azerbaijan,85446,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Cyprus, Cyprus,3,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,23886,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,25491,32.3293809,-83.1137366,,
