yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,245,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2988,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2958717,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,18189,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,13435,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,31954,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,10600,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,48105,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,233927,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2521487,29.2733964,47.4979476,,
2015,2015,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,77782,29.2733964,47.4979476,,
