yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Export,Turkey,Costa Rica,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1873564,38.9597594,34.9249653,10.2735633,-84.0739102
2019,2019,Export,Turkey,Croatia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",100763073,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Cuba,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",256903,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11448778,38.9597594,34.9249653,34.9823018,33.1451285
2019,2019,Export,Turkey,Czechia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",179112965,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Benin,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",576424,38.9597594,34.9249653,9.5293472,2.2584408
2019,2019,Export,Turkey,Denmark,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",241972499,38.9597594,34.9249653,55.670249,10.3333283
2019,2019,Export,Turkey,Dominica,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",178431,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Dominican Rep.,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1428995,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Ecuador,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5898598,38.9597594,34.9249653,-1.3397668,-79.3666965
2019,2019,Export,Turkey,El Salvador,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44209,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Equatorial Guinea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",501840,38.9597594,34.9249653,1.613172,10.5170357
2019,2019,Export,Turkey,Ethiopia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2797463,38.9597594,34.9249653,10.2116702,38.6521203
2019,2019,Export,Turkey,Eritrea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2696710,38.9597594,34.9249653,15.9500319,37.9999668
2019,2019,Export,Turkey,Estonia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8061683,38.9597594,34.9249653,58.7523778,25.3319078
2019,2019,Export,Turkey,Fiji,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28174,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Finland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",67634420,38.9597594,34.9249653,63.2467777,25.9209164
2019,2019,Export,Turkey,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3190422428,38.9597594,34.9249653,46.603354,1.8883335
2019,2019,Export,Turkey,French Polynesia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2235679,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Djibouti,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",492540,38.9597594,34.9249653,11.8145966,42.8453061
2019,2019,Export,Turkey,Gabon,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",846244,38.9597594,34.9249653,-0.8999695,11.6899699
2019,2019,Export,Turkey,Georgia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",75229244,38.9597594,34.9249653,32.3293809,-83.1137366
2019,2019,Export,Turkey,Gambia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",377029,38.9597594,34.9249653,13.470062,-15.4900464
2019,2019,Export,Turkey,State of Palestine,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",221216,38.9597594,34.9249653,31.46242095,34.262716572130714
2019,2019,Export,Turkey,Germany,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3156390766,38.9597594,34.9249653,51.1638175,10.4478313
2019,2019,Export,Turkey,Ghana,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",50110342,38.9597594,34.9249653,8.0300284,-1.0800271
2019,2019,Export,Turkey,Gibraltar,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",767785,38.9597594,34.9249653,36.1285933,-5.3474761
2019,2019,Export,Turkey,Greece,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",163308032,38.9597594,34.9249653,38.9953683,21.9877132
2019,2019,Export,Turkey,Greenland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",422,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Guatemala,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1133252,38.9597594,34.9249653,15.5855545,-90.345759
2019,2019,Export,Turkey,Guinea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4117314,38.9597594,34.9249653,10.7226226,-10.7083587
2019,2019,Export,Turkey,Guyana,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",263470,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Haiti,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",75701,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Honduras,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",219464,38.9597594,34.9249653,15.2572432,-86.0755145
2019,2019,Export,Turkey,"China, Hong Kong SAR",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3359920,38.9597594,34.9249653,22.350627,114.1849161
2019,2019,Export,Turkey,Hungary,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",352570533,38.9597594,34.9249653,47.1817585,19.5060937
2019,2019,Export,Turkey,Iceland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5498091,38.9597594,34.9249653,64.9841821,-18.1059013
2019,2019,Export,Turkey,Indonesia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4635976,38.9597594,34.9249653,-2.4833826,117.8902853
2019,2019,Export,Turkey,Iran,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",96103372,38.9597594,34.9249653,32.6475314,54.5643516
2019,2019,Export,Turkey,Iraq,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",371164848,38.9597594,34.9249653,33.0955793,44.1749775
2019,2019,Export,Turkey,Ireland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",186812340,38.9597594,34.9249653,52.865196,-7.9794599
2019,2019,Export,Turkey,Israel,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",712019016,38.9597594,34.9249653,30.8124247,34.8594762
2019,2019,Export,Turkey,Italy,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2782288218,38.9597594,34.9249653,42.6384261,12.674297
2019,2019,Export,Turkey,Côte d'Ivoire,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9724826,38.9597594,34.9249653,7.9897371,-5.5679458
2019,2019,Export,Turkey,Jamaica,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44941,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Japan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30476172,38.9597594,34.9249653,36.5748441,139.2394179
2019,2019,Export,Turkey,Kazakhstan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47016388,38.9597594,34.9249653,48.1012954,66.7780818
2019,2019,Export,Turkey,Jordan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42787374,38.9597594,34.9249653,31.1667049,36.941628
2019,2019,Export,Turkey,Kenya,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6732948,38.9597594,34.9249653,1.4419683,38.4313975
2019,2019,Export,Turkey,Rep. of Korea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",46548369,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Kuwait,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28681128,38.9597594,34.9249653,29.2733964,47.4979476
2019,2019,Export,Turkey,Kyrgyzstan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9858556,38.9597594,34.9249653,41.5089324,74.724091
2019,2019,Export,Turkey,Lao People's Dem. Rep.,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",394257,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Lebanon,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",29577781,38.9597594,34.9249653,33.8750629,35.843409
2019,2019,Export,Turkey,Latvia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9523091,38.9597594,34.9249653,56.8406494,24.7537645
2019,2019,Export,Turkey,Liberia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5846569,38.9597594,34.9249653,5.7499721,-9.3658524
2019,2019,Export,Turkey,Libya,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21505011,38.9597594,34.9249653,26.8234472,18.1236723
2019,2019,Export,Turkey,Lithuania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32816786,38.9597594,34.9249653,55.3500003,23.7499997
2019,2019,Export,Turkey,Luxembourg,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13306685,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Madagascar,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",698081,38.9597594,34.9249653,-18.9249604,46.4416422
2019,2019,Export,Turkey,Malawi,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",463822,38.9597594,34.9249653,-13.2687204,33.9301963
2019,2019,Export,Turkey,Malaysia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26550573,38.9597594,34.9249653,4.5693754,102.2656823
2019,2019,Export,Turkey,Maldives,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",888457,38.9597594,34.9249653,3.7203503,73.2244152
2019,2019,Export,Turkey,Mali,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1483921,38.9597594,34.9249653,16.3700359,-2.2900239
2019,2019,Export,Turkey,Malta,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24116509,38.9597594,34.9249653,35.8885993,14.4476911
2019,2019,Export,Turkey,Mauritania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1680637,38.9597594,34.9249653,20.2540382,-9.2399263
2019,2019,Export,Turkey,Mauritius,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2768154,38.9597594,34.9249653,-20.2759451,57.5703566
2019,2019,Export,Turkey,Mexico,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",133928598,38.9597594,34.9249653,23.6585116,-102.0077097
2019,2019,Export,Turkey,"Other Asia, nes",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78864628,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Mongolia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",442640,38.9597594,34.9249653,46.8250388,103.8499736
2019,2019,Export,Turkey,Rep. of Moldova,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14318251,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Montenegro,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2643866,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Morocco,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",398753800,38.9597594,34.9249653,31.1728205,-7.3362482
2019,2019,Export,Turkey,Mozambique,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2561892,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Oman,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",291060431,38.9597594,34.9249653,21.0000287,57.0036901
2019,2019,Export,Turkey,Namibia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91200,38.9597594,34.9249653,-23.2335499,17.3231107
2019,2019,Export,Turkey,Nepal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11267,38.9597594,34.9249653,28.1083929,84.0917139
2019,2019,Export,Turkey,Netherlands,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1061300509,38.9597594,34.9249653,52.2434979,5.6343227
2019,2019,Export,Turkey,Aruba,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",372993,38.9597594,34.9249653,,
2019,2019,Export,Turkey,New Caledonia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7117591,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Vanuatu,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",45349,38.9597594,34.9249653,-16.5255069,168.1069154
2019,2019,Export,Turkey,New Zealand,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30218721,38.9597594,34.9249653,-41.5000831,172.8344077
2019,2019,Export,Turkey,Nicaragua,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",154968,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Niger,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1473765,38.9597594,34.9249653,17.7356214,9.3238432
2019,2019,Export,Turkey,Nigeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18916495,38.9597594,34.9249653,9.6000359,7.9999721
2019,2019,Export,Turkey,Norway,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",128866358,38.9597594,34.9249653,60.5000209,9.0999715
2019,2019,Export,Turkey,United States Minor Outlying Islands,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4493,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Marshall Isds,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55340,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Pakistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4375061,38.9597594,34.9249653,30.3308401,71.247499
2019,2019,Export,Turkey,Panama,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",964831,38.9597594,34.9249653,8.559559,-81.1308434
2019,2019,Export,Turkey,Papua New Guinea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",108547,38.9597594,34.9249653,,
