yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,575,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1068817,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,82428,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,40,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,801704,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,495,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,59281,25.3336984,51.2295295,,
2013,2013,Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,124293,25.3336984,51.2295295,,
