yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,455747,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,42486,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,47763216,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,27534139,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,14440836,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,4805320,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,21332521,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,114067200,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,5504290,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,260569,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,41631774,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,953545,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,482,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,209324757,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,497758975,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Armenia, Armenia,44,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,2,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Djibouti, Djibouti,434,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Georgia, Georgia,4686,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,120384,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,266608,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,125,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Malta, Malta,1615,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,200,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,1182867,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,309178,38.9597594,34.9249653,,
2021,2021,Import,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,74094,38.9597594,34.9249653,,
