yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,7374,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,600,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,13952,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,World,World,11044687,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Afghanistan, Afghanistan,3733,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,156058,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,17996,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,11426,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,6531,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,21016,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,345621,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,10116005,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,344375,29.2733964,47.4979476,,
