yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,20580
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,60
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,5488899
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,781979
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,71149
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,690
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,177495
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1113
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,531368
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,573113
2006,2006,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,World,World,7661043
