yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,208137,25.62,42.35,37.977378106878206,73.97804075806764
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,8567638,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,34920,25.62,42.35,10.528384761701911,103.08333472012376
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,87455,25.62,42.35,40.12399607988535,20.742583178432696
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2835018,25.62,42.35,6.06272746187266,22.727528470146083
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,215953,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1268847,25.62,42.35,26.42921218083572,52.86847103284948
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,91180,25.62,42.35,47.92172048214207,7.866753258497997
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,38715538,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,712830,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,2649617,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,850840,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3037056,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,4019656,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,1934533,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,31200,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,1497200,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,2533801,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,870832,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,5195295,25.62,42.35,,
2017,2017,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,1809096,25.62,42.35,,
