yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,302,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,26971,28.0000272,2.9999825,,
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,73377,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1296145,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,136,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,9637,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,3155393,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1307039,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,7256583,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,World,World,13283987,28.0000272,2.9999825,,
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,12027,28.0000272,2.9999825,,
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,94608,28.0000272,2.9999825,,
2002,2002,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,28488,28.0000272,2.9999825,,
