yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,283437,,,-16.85099460447687,133.4130365630627
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,23991487,,,51.67568633314729,27.673469819741847
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,231567,,,19.569604022535763,12.47761721199581
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,44,,,43.897683433510366,-100.08947125585888
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,10866,,,59.36075159783851,25.01346951967388
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,5734173,,,40.12399607988535,20.742583178432696
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,15575,,,6.06272746187266,22.727528470146083
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,7033488,,,26.42921218083572,52.86847103284948
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,10116680,,,47.92172048214207,7.866753258497997
2006,2006,Export,Syria,25,Salt; sulfur; earths and stone; plastering materials,World,World,67294477,,,,
