yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,11800,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2014,2014,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,604,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2014,2014,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,18761,40.7696272,44.6736646,,
2014,2014,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,6150,40.7696272,44.6736646,,
